Gene loci,Bprom,DeepTFactor
BPSL0049, Number of predicted promoters -0,False
BPSL0050, Number of predicted promoters -0,False
BPSL0051, Number of predicted promoters -0,False
BPSL0052, Number of predicted promoters -0,False
BPSL0053, Number of predicted promoters -0,False
BPSL0054, Number of predicted promoters -0,False
BPSL0055, Number of predicted promoters -1,False
BPSL0056, Number of predicted promoters -1,True
BPSL0057, Number of predicted promoters -0,False
BPS_RS00295, Number of predicted promoters -1,False
BPSL0058, Number of predicted promoters -1,False
BPSL0059, Number of predicted promoters -1,False
BPSL0060, Number of predicted promoters -1,True
BPSL0061, Number of predicted promoters -1,False
BPSL0062, Number of predicted promoters -1,False
BPSL0063, Number of predicted promoters -2,False
BPSL0064, Number of predicted promoters -0,False
BPSL0065, Number of predicted promoters -1,False
BPSL0066, Number of predicted promoters -0,False
BPSL0067, Number of predicted promoters -1,False
BPSL0068, Number of predicted promoters -0,False
BPS_RS31715, Number of predicted promoters -1,False
BPSL0069, Number of predicted promoters -1,False
BPSL0070, Number of predicted promoters -1,True
BPSL0071, Number of predicted promoters -1,False
BPSL0072, Number of predicted promoters -1,False
BPS_RS00375, Number of predicted promoters -1,False
BPSL0073, Number of predicted promoters -3,False
BPSL0074, Number of predicted promoters -3,False
BPSL0075, Number of predicted promoters -2,False
BPSL0075a, Number of predicted promoters -1,False
BPSL0076, Number of predicted promoters -0,False
BPSL0077, Number of predicted promoters -1,False
BPSL0078, Number of predicted promoters -3,False
BPSL0079, Number of predicted promoters -2,False
BPSL0080, Number of predicted promoters -2,False
BPSL0081, Number of predicted promoters -2,False
BPSL0082, Number of predicted promoters -2,False
BPSL0083, Number of predicted promoters -0,False
BPSL0084, Number of predicted promoters -0,False
BPSL0085, Number of predicted promoters -0,False
BPSL0086, Number of predicted promoters -1,False
BPS_RS32050, Number of predicted promoters -1,False
BPSL0087, Number of predicted promoters -1,False
BPSL0088, Number of predicted promoters -1,False
BPSL0089, Number of predicted promoters -2,False
BPSL0090, Number of predicted promoters -2,True
BPSL0092, Number of predicted promoters -2,False
BPSL0093, Number of predicted promoters -1,False
BPSL0094, Number of predicted promoters -1,False
BPS_RS31730, Number of predicted promoters -1,False
BPSL0096, Number of predicted promoters -1,False
BPSL0097, Number of predicted promoters -1,False
BPSL0098, Number of predicted promoters -1,False
BPSL0099, Number of predicted promoters -0,False
BPSL0100, Number of predicted promoters -1,True
BPSL0101, Number of predicted promoters -0,False
BPSL0102, Number of predicted promoters -1,False
BPSL0103, Number of predicted promoters -0,True
BPSL0104, Number of predicted promoters -0,False
BPSL0106, Number of predicted promoters -0,False
BPSL0107, Number of predicted promoters -0,True
BPSL0108, Number of predicted promoters -1,False
BPSL0109, Number of predicted promoters -1,False
BPSL0110, Number of predicted promoters -0,False
BPS_RS00560, Number of predicted promoters -0,False
BPSL0111, Number of predicted promoters -0,False
BPSL0112, Number of predicted promoters -1,False
BPSL0113, Number of predicted promoters -1,False
BPSL0113A, Number of predicted promoters -2,False
BPS_RS00585, Number of predicted promoters -1,False
BPSL0114, Number of predicted promoters -2,False
BPSL0115, Number of predicted promoters -1,False
BPSL0116, Number of predicted promoters -0,False
BPSL0117, Number of predicted promoters -2,True
BPSL0118, Number of predicted promoters -2,False
BPSL0119, Number of predicted promoters -0,False
BPSL0120, Number of predicted promoters -2,False
BPSL0121, Number of predicted promoters -0,False
BPSL0122, Number of predicted promoters -1,False
BPSL0123, Number of predicted promoters -1,False
BPSL0124, Number of predicted promoters -2,False
BPSL0125, Number of predicted promoters -2,False
BPSL0126, Number of predicted promoters -0,False
BPSL0127, Number of predicted promoters -3,False
BPSL0128, Number of predicted promoters -0,True
BPS_RS32180, Number of predicted promoters -0,False
BPS_RS32185, Number of predicted promoters -1,False
BPSL0001, Number of predicted promoters -1,False
BPSL0002, Number of predicted promoters -2,False
BPSL0003, Number of predicted promoters -1,False
BPSL0004, Number of predicted promoters -1,False
BPSL0005, Number of predicted promoters -0,False
BPSL0006, Number of predicted promoters -1,False
BPSL0007, Number of predicted promoters -2,False
BPSL0008, Number of predicted promoters -0,False
BPSL0009, Number of predicted promoters -1,False
BPSL0010, Number of predicted promoters -1,False
BPSL0011, Number of predicted promoters -1,False
BPSL0012, Number of predicted promoters -1,False
BPSL0013, Number of predicted promoters -0,False
BPSL0014, Number of predicted promoters -1,False
BPSL0015, Number of predicted promoters -0,False
BPSL0016, Number of predicted promoters -0,False
BPSL0017, Number of predicted promoters -0,False
BPSL0018, Number of predicted promoters -0,False
BPSL0019, Number of predicted promoters -1,False
BPSL0020, Number of predicted promoters -0,False
BPSL0021, Number of predicted promoters -1,True
BPSL0022, Number of predicted promoters -2,False
BPSL0023, Number of predicted promoters -1,True
BPSL0024, Number of predicted promoters -1,False
BPSL0025, Number of predicted promoters -1,False
BPSL0026, Number of predicted promoters -1,False
BPSL0027, Number of predicted promoters -0,False
BPSL0028, Number of predicted promoters -0,False
BPSL0029, Number of predicted promoters -0,False
BPSL0030, Number of predicted promoters -1,False
BPSL0031, Number of predicted promoters -0,False
BPSL0032, Number of predicted promoters -0,False
BPSL0033, Number of predicted promoters -1,True
BPSL0034, Number of predicted promoters -0,False
BPSL0035, Number of predicted promoters -0,False
BPSL0036, Number of predicted promoters -2,False
BPSL0037, Number of predicted promoters -0,False
BPSL0038, Number of predicted promoters -1,False
BPSL0039, Number of predicted promoters -0,False
BPSL0040, Number of predicted promoters -0,True
BPSL0041, Number of predicted promoters -1,False
BPSL0042, Number of predicted promoters -1,False
BPSL0043, Number of predicted promoters -1,False
BPSL0044, Number of predicted promoters -0,False
BPSL0045, Number of predicted promoters -3,True
BPSL0046, Number of predicted promoters -0,False
BPSL0047, Number of predicted promoters -0,False
BPSL0048, Number of predicted promoters -0,False
BPSL0049, Number of predicted promoters -0,False
BPSL0050, Number of predicted promoters -0,False
BPSL0051, Number of predicted promoters -0,False
BPSL0052, Number of predicted promoters -0,False
BPSL0053, Number of predicted promoters -0,False
BPSL0054, Number of predicted promoters -0,False
BPSL0055, Number of predicted promoters -1,False
BPSL0056, Number of predicted promoters -1,True
BPSL0057, Number of predicted promoters -0,False
BPS_RS00295, Number of predicted promoters -1,False
BPSL0058, Number of predicted promoters -1,False
BPSL0059, Number of predicted promoters -1,False
BPSL0060, Number of predicted promoters -1,True
BPSL0061, Number of predicted promoters -1,False
BPSL0062, Number of predicted promoters -1,False
BPSL0063, Number of predicted promoters -2,False
BPSL0064, Number of predicted promoters -0,False
BPSL0065, Number of predicted promoters -1,False
BPSL0066, Number of predicted promoters -0,False
BPSL0067, Number of predicted promoters -1,False
BPSL0068, Number of predicted promoters -0,False
BPS_RS31715, Number of predicted promoters -1,False
BPSL0069, Number of predicted promoters -1,False
BPSL0070, Number of predicted promoters -1,True
BPSL0071, Number of predicted promoters -1,False
BPSL0072, Number of predicted promoters -1,False
BPS_RS00375, Number of predicted promoters -1,False
BPSL0073, Number of predicted promoters -3,False
BPSL0074, Number of predicted promoters -3,False
BPSL0075, Number of predicted promoters -2,False
BPSL0075a, Number of predicted promoters -1,False
BPSL0076, Number of predicted promoters -0,False
BPSL0077, Number of predicted promoters -1,False
BPSL0078, Number of predicted promoters -3,False
BPSL0079, Number of predicted promoters -2,False
BPSL0080, Number of predicted promoters -2,False
BPSL0081, Number of predicted promoters -2,False
BPSL0082, Number of predicted promoters -2,False
BPSL0083, Number of predicted promoters -0,False
BPSL0084, Number of predicted promoters -0,False
BPSL0085, Number of predicted promoters -0,False
BPSL0086, Number of predicted promoters -1,False
BPS_RS32050, Number of predicted promoters -1,False
BPSL0087, Number of predicted promoters -1,False
BPSL0088, Number of predicted promoters -1,False
BPSL0089, Number of predicted promoters -2,False
BPSL0090, Number of predicted promoters -2,True
BPSL0092, Number of predicted promoters -2,False
BPSL0093, Number of predicted promoters -1,False
BPSL0094, Number of predicted promoters -1,False
BPS_RS31730, Number of predicted promoters -1,False
BPSL0096, Number of predicted promoters -1,False
BPSL0097, Number of predicted promoters -1,False
BPSL0098, Number of predicted promoters -1,False
BPSL0099, Number of predicted promoters -0,False
BPSL0100, Number of predicted promoters -1,True
BPSL0101, Number of predicted promoters -0,False
BPSL0102, Number of predicted promoters -1,False
BPSL0103, Number of predicted promoters -0,True
BPSL0104, Number of predicted promoters -0,False
BPSL0106, Number of predicted promoters -0,False
BPSL0107, Number of predicted promoters -0,True
BPSL0108, Number of predicted promoters -1,False
BPSL0109, Number of predicted promoters -1,False
BPSL0110, Number of predicted promoters -0,False
BPS_RS00560, Number of predicted promoters -0,False
BPSL0111, Number of predicted promoters -0,False
BPSL0112, Number of predicted promoters -1,False
BPSL0113, Number of predicted promoters -1,False
BPSL0113A, Number of predicted promoters -2,False
BPS_RS00585, Number of predicted promoters -1,False
BPSL0114, Number of predicted promoters -2,False
BPSL0115, Number of predicted promoters -1,False
BPSL0116, Number of predicted promoters -0,False
BPSL0117, Number of predicted promoters -2,True
BPSL0118, Number of predicted promoters -2,False
BPSL0119, Number of predicted promoters -0,False
BPSL0120, Number of predicted promoters -2,False
BPSL0121, Number of predicted promoters -0,False
BPSL0122, Number of predicted promoters -1,False
BPSL0123, Number of predicted promoters -1,False
BPSL0124, Number of predicted promoters -2,False
BPSL0125, Number of predicted promoters -2,False
BPSL0126, Number of predicted promoters -0,False
BPSL0127, Number of predicted promoters -3,False
BPSL0128, Number of predicted promoters -0,True
BPS_RS32180, Number of predicted promoters -0,False
BPS_RS32185, Number of predicted promoters -1,False
BPS_RS00685, Number of predicted promoters -1,False
BPSL0130, Number of predicted promoters -0,False
BPSL0130a, Number of predicted promoters -0,False
BPSL0131, Number of predicted promoters -0,False
BPSL0132, Number of predicted promoters -0,False
BPSL0133, Number of predicted promoters -0,False
BPSL0134, Number of predicted promoters -0,False
BPSL0135, Number of predicted promoters -0,False
BPSL0136, Number of predicted promoters -1,False
BPSL0137, Number of predicted promoters -1,True
BPSL0138, Number of predicted promoters -0,False
BPSL0139, Number of predicted promoters -1,False
BPSL0140, Number of predicted promoters -1,False
BPSL0141, Number of predicted promoters -2,False
BPSL0142, Number of predicted promoters -2,False
BPSL0143, Number of predicted promoters -1,False
BPSL0144, Number of predicted promoters -1,False
BPSL0145, Number of predicted promoters -0,False
BPSL0146, Number of predicted promoters -2,False
BPSL0147, Number of predicted promoters -1,False
BPSL0148, Number of predicted promoters -1,False
BPSL0149, Number of predicted promoters -1,False
BPSL0150, Number of predicted promoters -1,False
BPSL0151, Number of predicted promoters -0,False
BPSL0152, Number of predicted promoters -2,False
BPSL0153, Number of predicted promoters -0,False
BPSL0154, Number of predicted promoters -0,False
BPSL0155, Number of predicted promoters -0,False
BPSL0156, Number of predicted promoters -0,False
BPSL0157, Number of predicted promoters -0,False
BPSL0159, Number of predicted promoters -1,False
BPSL0160, Number of predicted promoters -0,False
BPSL0162, Number of predicted promoters -0,False
BPSL0163, Number of predicted promoters -0,False
BPSL0164, Number of predicted promoters -0,False
BPSL0165, Number of predicted promoters -0,False
BPSL0166, Number of predicted promoters -0,False
BPSL0167, Number of predicted promoters -0,False
BPSL0168, Number of predicted promoters -0,False
BPSL0169, Number of predicted promoters -0,False
BPSL0170, Number of predicted promoters -1,False
BPSL0171, Number of predicted promoters -0,False
BPSL0172, Number of predicted promoters -2,True
BPSL0173, Number of predicted promoters -0,False
BPSL0174, Number of predicted promoters -0,False
BPSL0175, Number of predicted promoters -1,False
BPSL0176, Number of predicted promoters -2,False
BPS_RS00920, Number of predicted promoters -1,False
BPSL0177, Number of predicted promoters -2,False
BPSL0178, Number of predicted promoters -1,False
BPSL0179, Number of predicted promoters -1,False
BPSL0180, Number of predicted promoters -0,False
BPSL0181, Number of predicted promoters -0,False
BPSL0182, Number of predicted promoters -1,False
BPSL0183, Number of predicted promoters -1,False
BPSL0184, Number of predicted promoters -0,False
BPSL0185, Number of predicted promoters -0,False
BPSL0186, Number of predicted promoters -1,False
BPSL0187, Number of predicted promoters -1,False
BPSL0188, Number of predicted promoters -0,False
BPSL0189, Number of predicted promoters -0,False
BPSL0190, Number of predicted promoters -1,False
BPSL0191, Number of predicted promoters -2,False
BPSL0192, Number of predicted promoters -0,False
BPSL0193, Number of predicted promoters -1,False
BPSL0194, Number of predicted promoters -1,False
BPSL0195, Number of predicted promoters -2,False
BPSL0196, Number of predicted promoters -1,False
BPSL0197, Number of predicted promoters -0,False
BPSL0198, Number of predicted promoters -2,False
BPSL0199, Number of predicted promoters -1,False
BPSL0200, Number of predicted promoters -1,False
BPS_RS01045, Number of predicted promoters -0,False
BPSL0201, Number of predicted promoters -2,False
BPSL0202, Number of predicted promoters -0,True
BPSL0203, Number of predicted promoters -0,False
BPSL0204, Number of predicted promoters -0,False
BPSL0205, Number of predicted promoters -1,False
BPSL0206, Number of predicted promoters -0,False
BPSL0207, Number of predicted promoters -2,False
BPSL0208, Number of predicted promoters -0,False
BPSL0209, Number of predicted promoters -0,False
BPSL0210, Number of predicted promoters -0,False
BPSL0211, Number of predicted promoters -1,False
BPSL0212, Number of predicted promoters -0,False
BPSL0212A, Number of predicted promoters -0,False
BPSL0213, Number of predicted promoters -1,False
BPS_RS01120, Number of predicted promoters -1,False
BPSL0215, Number of predicted promoters -1,False
BPSL0216, Number of predicted promoters -1,False
BPSL0217, Number of predicted promoters -0,False
BPSL0218, Number of predicted promoters -1,False
BPSL0219, Number of predicted promoters -0,False
BPSL0220, Number of predicted promoters -1,False
BPSL0221, Number of predicted promoters -0,False
BPSL0222, Number of predicted promoters -0,False
BPSL0223, Number of predicted promoters -1,False
BPSL0224, Number of predicted promoters -1,False
BPSL0225, Number of predicted promoters -1,False
BPSL0226, Number of predicted promoters -0,False
BPSL0227, Number of predicted promoters -0,False
BPSL0228, Number of predicted promoters -0,False
BPSL0229, Number of predicted promoters -0,True
BPSL0230, Number of predicted promoters -1,False
BPSL0231, Number of predicted promoters -2,False
BPSL0232, Number of predicted promoters -1,False
BPSL0233, Number of predicted promoters -0,False
BPSL0234, Number of predicted promoters -0,False
BPSL0235, Number of predicted promoters -0,False
BPSL0236, Number of predicted promoters -1,False
BPSL0237, Number of predicted promoters -0,False
BPSL0238, Number of predicted promoters -2,False
BPSL0239, Number of predicted promoters -0,True
BPSL0240, Number of predicted promoters -0,False
BPSL0241, Number of predicted promoters -0,False
BPSL0242, Number of predicted promoters -0,False
BPSL0243, Number of predicted promoters -0,False
BPSL0244, Number of predicted promoters -1,False
BPS_RS01280, Number of predicted promoters -0,False
BPSL0245, Number of predicted promoters -2,False
BPSL0246, Number of predicted promoters -0,False
BPSL0247, Number of predicted promoters -1,False
BPSL0248, Number of predicted promoters -1,False
BPSL0249, Number of predicted promoters -1,False
BPSL0250, Number of predicted promoters -1,False
BPSL0251, Number of predicted promoters -0,False
BPSL0252, Number of predicted promoters -2,False
BPSL0253, Number of predicted promoters -0,False
BPSL0254, Number of predicted promoters -0,False
BPSL0255, Number of predicted promoters -1,False
BPSL0256, Number of predicted promoters -0,False
BPSL0257, Number of predicted promoters -0,False
BPSL0258, Number of predicted promoters -1,False
BPSL0259, Number of predicted promoters -2,False
BPSL0260, Number of predicted promoters -1,False
BPSL0261, Number of predicted promoters -1,False
BPSL0262, Number of predicted promoters -0,False
BPSL0263, Number of predicted promoters -0,False
BPSL0264, Number of predicted promoters -0,False
BPSL0265, Number of predicted promoters -0,False
BPSL0266, Number of predicted promoters -1,False
BPSL0267, Number of predicted promoters -1,False
BPSL0268, Number of predicted promoters -2,False
BPS_RS01405, Number of predicted promoters -1,False
BPSL0270, Number of predicted promoters -1,False
BPSL0271, Number of predicted promoters -1,False
BPSL0272, Number of predicted promoters -1,False
BPSL0273, Number of predicted promoters -1,False
BPSL0274, Number of predicted promoters -0,False
BPSL0275, Number of predicted promoters -1,False
BPSL0276, Number of predicted promoters -1,False
BPSL0277, Number of predicted promoters -0,False
BPSL0278, Number of predicted promoters -0,False
BPSL0279, Number of predicted promoters -2,False
BPSL0280, Number of predicted promoters -0,False
BPSL0281, Number of predicted promoters -0,False
BPSL0282, Number of predicted promoters -1,False
BPSL0283, Number of predicted promoters -1,True
BPSL0284, Number of predicted promoters -1,False
BPSL0285, Number of predicted promoters -0,False
BPSL0286, Number of predicted promoters -1,False
BPSL0287, Number of predicted promoters -2,False
BPSL0288, Number of predicted promoters -1,False
BPSL0289, Number of predicted promoters -3,False
BPSL0290, Number of predicted promoters -1,False
BPSL0291, Number of predicted promoters -0,False
BPSL0292, Number of predicted promoters -0,False
BPSL0293, Number of predicted promoters -0,False
BPSL0294, Number of predicted promoters -0,False
BPS_RS01535, Number of predicted promoters -1,False
BPS_RS01540, Number of predicted promoters -1,False
BPS_RS31740, Number of predicted promoters -0,False
BPSL0295, Number of predicted promoters -0,False
BPSL0296, Number of predicted promoters -1,False
BPSL0297, Number of predicted promoters -1,False
BPSL0298, Number of predicted promoters -2,False
BPSL0299, Number of predicted promoters -0,False
BPSL0300, Number of predicted promoters -0,False
BPSL0301, Number of predicted promoters -1,False
BPSL0302, Number of predicted promoters -0,False
BPSL0303, Number of predicted promoters -0,False
BPSL0304, Number of predicted promoters -0,False
BPSL0305, Number of predicted promoters -0,False
BPSL0306, Number of predicted promoters -1,False
BPSL0307, Number of predicted promoters -0,False
BPSL0308, Number of predicted promoters -0,False
BPSL0309, Number of predicted promoters -2,False
BPSL0310, Number of predicted promoters -0,False
BPSL0311, Number of predicted promoters -1,False
BPSL0312, Number of predicted promoters -1,False
BPSL0313, Number of predicted promoters -1,False
BPSL0314, Number of predicted promoters -0,False
BPSL0315, Number of predicted promoters -0,False
BPSL0316, Number of predicted promoters -1,False
BPSL0317, Number of predicted promoters -1,False
BPSL0318, Number of predicted promoters -1,False
BPS_RS01675, Number of predicted promoters -1,False
BPSL0320, Number of predicted promoters -0,False
BPSL0321, Number of predicted promoters -0,False
BPSL0322, Number of predicted promoters -1,True
BPSL0323, Number of predicted promoters -0,False
BPSL0324, Number of predicted promoters -1,False
BPSL0325, Number of predicted promoters -1,False
BPSL0326, Number of predicted promoters -2,False
BPSL0327, Number of predicted promoters -1,True
BPSL0328, Number of predicted promoters -0,False
BPSL0329, Number of predicted promoters -1,False
BPSL0330, Number of predicted promoters -1,True
BPSL0331, Number of predicted promoters -1,False
BPS_RS01740, Number of predicted promoters -0,False
BPSL0332, Number of predicted promoters -0,False
BPSL0333, Number of predicted promoters -0,False
BPSL0334, Number of predicted promoters -2,False
BPSL0335, Number of predicted promoters -1,False
BPSL0336, Number of predicted promoters -1,False
BPSL0337, Number of predicted promoters -0,False
BPSL0338, Number of predicted promoters -1,False
BPSL0339, Number of predicted promoters -1,False
BPSL0340, Number of predicted promoters -1,True
BPSL0341, Number of predicted promoters -1,False
BPSL0342, Number of predicted promoters -0,False
BPSL0343, Number of predicted promoters -0,False
BPSL0344, Number of predicted promoters -2,False
BPSL0345, Number of predicted promoters -3,False
BPSL0346, Number of predicted promoters -1,False
BPSL0347, Number of predicted promoters -1,False
BPSL0348, Number of predicted promoters -1,False
BPSL0349, Number of predicted promoters -2,False
BPS_RS01845, Number of predicted promoters -0,False
BPS_RS01850, Number of predicted promoters -0,False
BPSL0352, Number of predicted promoters -1,False
BPSL0353, Number of predicted promoters -3,False
BPSL0354, Number of predicted promoters -0,False
BPSL0355, Number of predicted promoters -0,False
BPSL0356, Number of predicted promoters -3,False
BPSL0357, Number of predicted promoters -1,False
BPSL0358, Number of predicted promoters -1,False
BPSL0359, Number of predicted promoters -2,False
BPSL0360, Number of predicted promoters -1,False
BPSL0361, Number of predicted promoters -0,False
BPSL0362, Number of predicted promoters -1,False
BPSL0363, Number of predicted promoters -1,False
BPSL0364, Number of predicted promoters -1,False
BPSL0365, Number of predicted promoters -0,False
BPSL0366, Number of predicted promoters -0,False
BPSL0367, Number of predicted promoters -1,False
BPSL0368, Number of predicted promoters -2,False
BPSL0369, Number of predicted promoters -0,False
BPSL0370, Number of predicted promoters -0,False
BPSL0371, Number of predicted promoters -1,False
BPSL0372, Number of predicted promoters -1,False
BPSL0373, Number of predicted promoters -2,False
BPSL0374, Number of predicted promoters -0,False
BPSL0375, Number of predicted promoters -0,False
BPSL0376, Number of predicted promoters -2,False
BPSL0377, Number of predicted promoters -1,False
BPSL0378, Number of predicted promoters -1,True
BPSL0379, Number of predicted promoters -1,False
BPSL0380, Number of predicted promoters -1,False
BPSL0381, Number of predicted promoters -0,False
BPSL0382, Number of predicted promoters -0,False
BPSL0383, Number of predicted promoters -2,False
BPSL0384, Number of predicted promoters -1,False
BPSL0385, Number of predicted promoters -1,False
BPSL0386, Number of predicted promoters -1,False
BPSL0387, Number of predicted promoters -0,False
BPSL0388, Number of predicted promoters -1,False
BPSL0389, Number of predicted promoters -1,True
BPSL0390, Number of predicted promoters -1,False
BPSL0391, Number of predicted promoters -1,False
BPSL0392, Number of predicted promoters -1,False
BPSL0393, Number of predicted promoters -0,False
BPSL0394, Number of predicted promoters -1,False
BPSL0395, Number of predicted promoters -0,False
BPSL0396, Number of predicted promoters -1,False
BPSL0397, Number of predicted promoters -0,False
BPSL0398, Number of predicted promoters -1,False
BPSL0399, Number of predicted promoters -0,False
BPSL0400, Number of predicted promoters -1,False
BPSL0401, Number of predicted promoters -1,False
BPSL0402, Number of predicted promoters -1,False
BPSL0403, Number of predicted promoters -1,False
BPSL0404, Number of predicted promoters -1,False
BPSL0405, Number of predicted promoters -1,False
BPSL0406, Number of predicted promoters -1,False
BPSL0407, Number of predicted promoters -1,False
BPSL0408, Number of predicted promoters -1,False
BPSL0409, Number of predicted promoters -0,False
BPSL0410, Number of predicted promoters -0,False
BPSL0411, Number of predicted promoters -1,True
BPSL0412, Number of predicted promoters -1,False
BPSL0413, Number of predicted promoters -1,False
BPSL0414, Number of predicted promoters -2,False
BPSL0415, Number of predicted promoters -0,False
BPSL0416, Number of predicted promoters -0,False
BPSL0417, Number of predicted promoters -0,False
BPSL0418, Number of predicted promoters -1,True
BPSL0419, Number of predicted promoters -1,False
BPSL0420, Number of predicted promoters -1,False
BPSL0421, Number of predicted promoters -0,False
BPSL0422, Number of predicted promoters -1,False
BPSL0423, Number of predicted promoters -0,False
BPSL0424, Number of predicted promoters -0,False
BPSL0425, Number of predicted promoters -1,False
BPSL0426, Number of predicted promoters -3,False
BPSL0427, Number of predicted promoters -1,False
BPSL0428, Number of predicted promoters -1,False
BPSL0429, Number of predicted promoters -2,False
BPSL0430, Number of predicted promoters -0,False
BPSL0431, Number of predicted promoters -0,False
BPSL0432, Number of predicted promoters -1,False
BPSL0433, Number of predicted promoters -1,False
BPSL0434, Number of predicted promoters -1,False
BPSL0435, Number of predicted promoters -0,False
BPSL0436, Number of predicted promoters -1,False
BPSL0437, Number of predicted promoters -2,False
BPSL0438, Number of predicted promoters -1,False
BPSL0439, Number of predicted promoters -1,False
BPSL0440, Number of predicted promoters -2,False
BPSL0441, Number of predicted promoters -1,False
BPSL0442, Number of predicted promoters -1,False
BPSL0443, Number of predicted promoters -1,False
BPSL0444, Number of predicted promoters -1,False
BPSL0445, Number of predicted promoters -0,False
BPSL0446, Number of predicted promoters -1,False
BPSL0447, Number of predicted promoters -1,False
BPSL0448, Number of predicted promoters -1,False
BPSL0449, Number of predicted promoters -1,False
BPSL0450, Number of predicted promoters -1,False
BPSL0451, Number of predicted promoters -1,False
BPSL0452, Number of predicted promoters -1,False
BPSL0453, Number of predicted promoters -1,False
BPSL0454, Number of predicted promoters -2,False
BPSL0455, Number of predicted promoters -0,False
BPSL0456, Number of predicted promoters -0,False
BPSL0457, Number of predicted promoters -0,False
BPSL0458, Number of predicted promoters -0,False
BPSL0458a, Number of predicted promoters -1,False
BPSL0459, Number of predicted promoters -0,False
BPSL0460, Number of predicted promoters -0,False
BPSL0461, Number of predicted promoters -1,False
BPSL0462, Number of predicted promoters -2,False
BPSL0463, Number of predicted promoters -1,False
BPSL0464, Number of predicted promoters -0,False
BPSL0465, Number of predicted promoters -1,False
BPS_RS02440, Number of predicted promoters -1,False
BPSL0466, Number of predicted promoters -2,False
BPSL0467, Number of predicted promoters -1,False
BPS_RS02455, Number of predicted promoters -0,False
BPSL0468, Number of predicted promoters -1,False
BPSL0469, Number of predicted promoters -0,False
BPSL0470, Number of predicted promoters -1,False
BPSL0471, Number of predicted promoters -0,False
BPSL0472, Number of predicted promoters -1,False
BPSL0473, Number of predicted promoters -1,False
BPSL0474, Number of predicted promoters -1,False
BPSL0475, Number of predicted promoters -0,False
BPSL0476, Number of predicted promoters -0,False
BPSL0477, Number of predicted promoters -0,False
BPSL0478, Number of predicted promoters -1,False
BPSL0479, Number of predicted promoters -0,False
BPSL0480, Number of predicted promoters -0,False
BPSL0481, Number of predicted promoters -1,False
BPSL0482, Number of predicted promoters -0,False
BPSL0483, Number of predicted promoters -0,False
BPSL0484, Number of predicted promoters -0,False
BPSL0485, Number of predicted promoters -0,False
BPSL0486, Number of predicted promoters -0,False
BPSL0487, Number of predicted promoters -0,False
BPSL0488, Number of predicted promoters -0,False
BPSL0489, Number of predicted promoters -0,False
BPSL0490, Number of predicted promoters -0,False
BPSL0491, Number of predicted promoters -0,False
BPSL0492, Number of predicted promoters -0,False
BPSL0493, Number of predicted promoters -1,False
BPSL0494, Number of predicted promoters -2,True
BPSL0495, Number of predicted promoters -1,True
BPSL0496, Number of predicted promoters -1,False
BPSL0497, Number of predicted promoters -1,False
BPSL0498, Number of predicted promoters -0,False
BPSL0499, Number of predicted promoters -2,False
BPSL0500, Number of predicted promoters -2,False
BPS_RS02625, Number of predicted promoters -0,False
BPSL0500A, Number of predicted promoters -0,False
BPSL0501, Number of predicted promoters -1,False
BPSL0502, Number of predicted promoters -1,False
BPSL0503, Number of predicted promoters -1,False
BPSL0504, Number of predicted promoters -1,True
BPSL0505, Number of predicted promoters -2,False
